id,title,series,author,genre,date_published,publisher,num_of_page,lang,review_count,rate,award
539,"In the Night Garden (The Orphan's Tales, #1)","
        (The Orphan's Tales #1)
","Catherynne M. Valente,Michael Wm. Kaluta","Fantasy,Fiction,Fantasy,Fairy Tales,Short Stories,Young Adult,Fantasy,Magic,Science Fiction Fantasy,Fantasy,Mythology,Retellings",October 31st 2006,"Bantam Dell

            ,",483,English,912,3.86,"World Fantasy Award Nominee for Best Novel (2007),Mythopoeic Fantasy Award for Adult Literature (2008),James Tiptree Jr. Award (2006)"
540,Laços fortes e decisões difíceis,,Graça Jacinto,,Nov-12,Folheto Edições,415,Portuguese,0,4.55,
541,"Love, Lex (The Undergrad Years, #1)","
        (The Undergrad Years #1)
",Avery Aster,"New Adult,Romance,Contemporary,Adult Fiction,Erotica,Romance,Contemporary Romance,Young Adult,Humor,Business,Amazon,Romance,Erotic Romance",April 10th 2014,"CreateSpace

            ,",218,English,348,3.3,
542,"Aegis Rising (The Aegis League, #1)","
        (The Aegis League #1)
",S.S. Segran,"Fantasy,Young Adult,Adventure,Fiction,Business,Amazon,Science Fiction",November 15th 2013,"INKmagination Books

            ,",448,English,98,3.52,
543,Midnight Sun [2008 Draft],,Stephenie Meyer,"Young Adult,Fantasy,Paranormal,Vampires,Romance,Fantasy,Paranormal,Fiction,Romance,Paranormal Romance,Fantasy,Supernatural,Fantasy,Urban Fantasy",August 28th 2008,NaN,264,English,"9,439",4,
544,Spilled Milk,,K.L. Randis,"Nonfiction,Autobiography,Memoir,Crime,True Crime,Biography,Sociology,Abuse,Mystery,Crime,Audiobook,Psychology,Biography,Autobiography",December 4th 2013,"Amazon Digital Services

            ,",276,English,"3,135",4.35,
545,"Gone (Wake, #3)","
        (Wake #3)
",Lisa McMann,"Young Adult,Fantasy,Paranormal,Fantasy,Romance,Fiction,Fantasy,Supernatural,Mystery,Young Adult,Teen,Fantasy,Urban Fantasy",February 9th 2010,Simon  Schuster Books for Young Readers,214,English,"1,992",3.68,Goodreads Choice Award Nominee for Goodreads Author (2010)
546,"You Really Are Full of Shit, Aren't You?",,Karl Wiggins,"Humor,Humor,Comedy",January 3rd 2015,"Karl Wiggins

            ,",263,English,17,4.14,
547,Flight Behavior,,Barbara Kingsolver,"Fiction,Literary Fiction,Contemporary,Environment,Environment,Climate Change,Novels,Adult Fiction,Book Club,Environment,Nature",November 6th 2012,"HarperCollins 

            ,",436,English,"10,261",3.78,"Orion Book Award Nominee (2013),Women's Prize for Fiction Nominee (2013),Andrew Carnegie Medal Nominee for Fiction (2013),Weatherford Award for Fiction (2012),Goodreads Choice Award Nominee for Fiction (2012)"
548,"I, Lucifer",,Glen Duncan,"Fiction,Fantasy,Humor,Horror,Religion,Fantasy,Supernatural,Fantasy,Paranormal,Contemporary,Fantasy,Urban Fantasy",April 2nd 2003,"Grove Press

            ,",272,English,932,3.61,
